date,source,frequency,expected_daily,crawl_status,candidates_seen,pages_fetched,article_count,unique_articles,duplicate_articles,usable_articles,usable_rate,incomplete_articles,short_articles,content_chars_min,content_chars_median,content_chars_max,previous_count,baseline_median_7d,ratio_to_baseline,zero_streak_days,anomaly_level,anomaly_codes,anomaly_reason,updated_at
2026-05-24,Supply Chain Digital,实时,true,historical,,,1,1,0,0,0.0000,1,0,4677,4677,4677,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-24,the information,实时,true,historical,,,1,1,0,0,0.0000,1,1,118,118,118,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-25,Ammonia Energy Association,周度,false,historical,,,1,1,0,0,0.0000,1,0,3104,3104,3104,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-25,Electrek,实时,true,historical,,,5,5,0,0,0.0000,5,0,4409,7772,26477,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-25,Hydrogen Tech World,周度,false,historical,,,1,1,0,0,0.0000,1,1,138,138,138,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-25,Supply Chain Digital,实时,true,historical,,,1,1,0,0,0.0000,1,0,9022,9022,9022,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-25,pv magazine,实时,true,historical,,,11,11,0,0,0.0000,11,0,2391,4279,10334,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-25,scitechdaily,实时,true,historical,,,7,7,0,0,0.0000,7,0,3603,5014,7952,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-25,the information,实时,true,historical,,,2,2,0,0,0.0000,2,2,80,148,216,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,Ammonia Energy Association,周度,false,historical,,,1,1,0,0,0.0000,1,0,2155,2155,2155,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,ESS News,工作日,true,historical,,,3,3,0,0,0.0000,3,0,2406,3532,4336,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,Electrek,实时,true,historical,,,8,8,0,0,0.0000,8,0,4164,10600,26931,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,Hydrogen Tech World,周度,false,historical,,,1,1,0,0,0.0000,1,1,94,94,94,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,Informationsdienst Wissenschaft-idw,工作日,true,historical,,,8,8,0,0,0.0000,8,0,3592,6244,10689,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,MIT Technology Review,实时,true,historical,,,4,4,0,0,0.0000,4,0,6503,9782,19736,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,Supply Chain Digital,实时,true,historical,,,4,4,0,0,0.0000,4,0,4010,4873,5910,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,electrive,工作日,true,historical,,,1,1,0,0,0.0000,1,0,3111,3111,3111,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,interesting engineering,实时,true,historical,,,10,10,0,0,0.0000,10,0,5300,6155,7309,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,pv magazine,实时,true,historical,,,9,9,0,0,0.0000,9,0,2340,3478,7959,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,scitechdaily,实时,true,historical,,,14,14,0,0,0.0000,14,0,3072,5474,8917,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-26,the information,实时,true,historical,,,5,5,0,0,0.0000,5,5,64,112,278,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,Ammonia Energy Association,周度,false,historical,,,1,1,0,0,0.0000,1,0,2723,2723,2723,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,Batteries International,实时（新闻资讯）+季度（新闻整合）,false,historical,,,3,3,0,0,0.0000,3,0,1609,2439,2710,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,Battery Tech Online,低频,false,historical,,,1,1,0,0,0.0000,1,0,11703,11703,11703,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,BloombergNEF Press,月度,false,historical,,,1,1,0,0,0.0000,1,0,7869,7869,7869,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,ESS News,工作日,true,historical,,,5,5,0,0,0.0000,5,0,1692,2886,2969,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,Electrek,实时,true,historical,,,14,14,0,0,0.0000,14,0,3578,4848,26789,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,Hydrogen Tech World,周度,false,historical,,,1,1,0,0,0.0000,1,1,84,84,84,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,Informationsdienst Wissenschaft-idw,工作日,true,historical,,,9,9,0,0,0.0000,9,0,1880,5615,9272,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,MIT Technology Review,实时,true,historical,,,1,1,0,0,0.0000,1,0,7372,7372,7372,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,Supply Chain Digital,实时,true,historical,,,4,4,0,0,0.0000,4,0,4243,5115,5914,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,Volta Foundation,周度,false,historical,,,1,1,0,0,0.0000,1,1,301,301,301,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,electrive,工作日,true,historical,,,2,2,0,0,0.0000,2,0,2465,4191,5917,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,interesting engineering,实时,true,historical,,,13,13,0,0,0.0000,13,0,5507,6081,7392,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,pv magazine,实时,true,historical,,,7,7,0,0,0.0000,7,0,1967,4397,14225,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,scitechdaily,实时,true,historical,,,13,13,0,0,0.0000,13,0,3820,5390,7273,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-27,the information,实时,true,historical,,,16,16,0,0,0.0000,16,16,66,162,339,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,Ammonia Energy Association,周度,false,historical,,,3,3,0,0,0.0000,3,3,70,87,162,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,Batteries International,实时（新闻资讯）+季度（新闻整合）,false,historical,,,4,4,0,0,0.0000,4,0,510,1460,2853,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,Battery Tech Online,低频,false,historical,,,3,3,0,0,0.0000,3,0,4765,7155,10693,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,ESS News,工作日,true,historical,,,4,4,0,0,0.0000,4,0,1569,2062,2306,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,Electrek,实时,true,historical,,,9,9,0,0,0.0000,9,0,2649,4103,15043,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,Informationsdienst Wissenschaft-idw,工作日,true,historical,,,3,3,0,0,0.0000,3,0,4403,7201,9242,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,MIT Technology Review,实时,true,historical,,,3,3,0,0,0.0000,3,0,1489,4917,5905,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,Renewables Now,工作日,true,historical,,,14,14,0,0,0.0000,14,0,3127,4582,4952,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,Supply Chain Digital,实时,true,historical,,,4,4,0,0,0.0000,4,0,4112,6067,8736,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,electrive,工作日,true,historical,,,3,3,0,0,0.0000,3,0,2942,3177,3670,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,interesting engineering,实时,true,historical,,,17,17,0,0,0.0000,17,0,4392,5682,6606,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,pv magazine,实时,true,historical,,,10,10,0,0,0.0000,10,0,1925,3256,5411,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,scitechdaily,实时,true,historical,,,9,9,0,0,0.0000,9,0,3638,5615,6945,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,the information,实时,true,historical,,,13,13,0,0,0.0000,13,13,19,97,298,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,中国电力新闻网-新能源,工作日,true,historical,,,6,3,3,0,0.0000,6,0,1009,1915,2133,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,中国电力新闻网-科技,工作日,true,historical,,,4,2,2,0,0.0000,4,0,1048,1195,1342,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,新华网科技,工作日,true,historical,,,8,8,0,0,0.0000,8,2,382,1264,3034,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,索比光伏,工作日,true,historical,,,2,2,0,0,0.0000,2,0,734,735,736,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,索比光伏-综合新闻,工作日,true,historical,,,7,7,0,0,0.0000,7,3,14,539,3456,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-28,网易知光谷,低频,false,historical,,,2,2,0,0,0.0000,2,0,2657,2907,3157,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,Battery Tech Online,低频,false,historical,,,2,2,0,0,0.0000,2,0,6933,7108,7284,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,ESS News,工作日,true,historical,,,3,3,0,0,0.0000,3,0,2371,2410,3032,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,Electrek,实时,true,historical,,,1,1,0,0,0.0000,1,0,5787,5787,5787,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,MIT Technology Review,实时,true,historical,,,2,2,0,0,0.0000,2,0,6609,6773,6938,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,Renewables Now,工作日,true,historical,,,4,4,0,0,0.0000,4,0,3114,3186,4327,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,Supply Chain Digital,实时,true,historical,,,7,7,0,0,0.0000,7,0,3528,3981,7613,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,interesting engineering,实时,true,historical,,,2,2,0,0,0.0000,2,0,5440,5746,6053,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,pv magazine,实时,true,historical,,,10,10,0,0,0.0000,10,0,2111,3320,5277,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,scitechdaily,实时,true,historical,,,9,9,0,0,0.0000,9,0,4112,5878,9935,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,the information,实时,true,historical,,,11,11,0,0,0.0000,11,11,19,86,124,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,中国电力新闻网-新能源,工作日,true,historical,,,4,2,2,0,0.0000,4,1,495,725,1123,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,中国电力新闻网-科技,工作日,true,historical,,,2,1,1,0,0.0000,2,0,896,896,896,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,新华网科技,工作日,true,historical,,,7,7,0,0,0.0000,7,0,791,1872,2615,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,索比光伏,工作日,true,historical,,,4,4,0,0,0.0000,4,1,93,676,1623,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,索比光伏-综合新闻,工作日,true,historical,,,6,6,0,0,0.0000,6,2,362,529,5564,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-29,网易知光谷,低频,false,historical,,,4,4,0,0,0.0000,4,0,836,1915,2429,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-30,Electrek,实时,true,historical,,,4,4,0,0,0.0000,4,0,3136,4121,13958,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-30,Supply Chain Digital,实时,true,historical,,,3,3,0,0,0.0000,3,1,83,3213,4101,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-30,electrive,工作日,false,historical,,,1,1,0,0,0.0000,1,0,2439,2439,2439,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-30,interesting engineering,实时,true,historical,,,8,8,0,0,0.0000,8,0,4548,5381,5803,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-30,pv magazine,实时,true,historical,,,6,6,0,0,0.0000,6,0,1587,2373,8073,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-30,scitechdaily,实时,true,historical,,,11,11,0,0,0.0000,11,0,4180,5730,9532,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-30,the information,实时,true,historical,,,5,5,0,0,0.0000,5,5,19,19,111,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-30,新华网科技,工作日,false,historical,,,1,1,0,0,0.0000,1,1,396,396,396,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-30,网易知光谷,低频,false,historical,,,3,3,0,0,0.0000,3,0,2789,3071,4883,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-31,Electrek,实时,true,historical,,,1,1,0,0,0.0000,1,0,11735,11735,11735,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-31,Supply Chain Digital,实时,true,historical,,,1,1,0,0,0.0000,1,0,8668,8668,8668,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-31,interesting engineering,实时,true,historical,,,8,8,0,0,0.0000,8,0,4857,5194,7581,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-31,scitechdaily,实时,true,historical,,,9,9,0,0,0.0000,9,0,4145,5634,10617,,,,,,,,2026-08-07T10:06:41.148574+08:00
2026-05-31,the information,实时,true,historical,,,4,4,0,0,0.0000,4,4,19,62,116,,,,,,,,2026-08-07T10:06:41.148574+08:00
